year,category,winner,entity,budget,company,country,director,genre,gross,name,rating,released,runtime,birthplace,date_of_birth,race_ethnicity,religion,sexual_orientation
2017,ACTOR IN A LEADING ROLE,TRUE,Gary Oldman,30000000,Perfect World Pictures,UK,Joe Wright,Drama,150900000,Darkest Hour,PG-13,,125,,,,,
2017,ACTRESS IN A LEADING ROLE,TRUE,Emma Stone,30000000,Summit Entertainment,USA,Damien Chazelle,Romance,446100000,La La Land,,,128,,,,,
2017,DIRECTING,TRUE,Guillermo del Toro,,,,,,,The Shape of Water,,,,,,,,
2017,BEST PICTURE,TRUE,The Shape of Water,,,,,,,,,,,,,,,
2017,WRITING (Adapted Screenplay),TRUE,James Ivory,,,,,,,Call Me by Your Name,,,,,,,,
2017,WRITING (Original Screenplay),TRUE,Jordan Peele,,,,,,,Get Out,,,,,,,,
2018,ACTOR IN A LEADING ROLE,TRUE,Rami Malek,52000000,20th Century Studios,UK,Bryan Singer,Drama,903700000,Bohemian Rhapsody,,,133,,,,,
2018,ACTRESS IN A LEADING ROLE,TRUE,Frances McDorman,15000000,Searchlight Pictures,UK,Martin MacDonagh,Drama,160100000,"Three Billboards Outside Ebbing, Missouri",PG-13,,116,,,,,
2018,DIRECTING,TRUE,Alfonso Cuaron,,,,,,,Roma,,,,,,,,
2018,BEST PICTURE,TRUE,Green Book,,,,,,,,,,,,,,,
2018,WRITING (Adapted Screenplay),TRUE,"Kevin Wilmott, Spike Lee, Charlie Wachtel, David Rabinowitz",,,,,,,BlacKkKlansman,,,,,,,,
2018,WRITING (Original Screenplay),TRUE,"Brian Currie, Peter Farrelly, Nick Vallelonga",,,,,,,Green Book,,,,,,,,
2019,ACTOR IN A LEADING ROLE,TRUE,Joaquin Phoenix,62500000,Warner Bros.,USA,Todd Phillips,Thriller,1072000000,Joker,R,,122,,,,,
2019,ACTRESS IN A LEADING ROLE,TRUE,Olivia Colman,15000000,Element Pictures,UK,Yorgos Lanthimos,Comedy,95900000,The Favourite,R,,121,,,,,
2019,DIRECTING,TRUE,Bong Joon-ho,,,,,,,Parasite,,,,,,,,
2019,BEST PICTURE,TRUE,Parasite,,,,,,,,,,,,,,,
2019,WRITING (Adapted Screenplay),TRUE,Taika Waititi,,,,,,,Jojo Rabbit,,,,,,,,
2019,WRITING (Original Screenplay),TRUE,"Bong Joon-ho, Han Jin-won",,,,,,,Parasite,,,,,,,,
